img_id,img_filename,y,label_name,split,context,context_name
7433,train/7_5_153.jpg,7,bear,0,5,in_forest
1974,train/2_17_22.jpg,2,rat,0,17,at_home
9222,train/9_8_85.jpg,9,monkey,0,8,walking
2573,train/3_17_174.jpg,3,cat,0,17,at_home
8820,train/9_31_58.jpg,9,monkey,0,31,sitting
8799,train/9_31_33.jpg,9,monkey,0,31,sitting
3351,train/3_3_119.jpg,3,cat,0,3,on_snow
4382,train/4_9_121.jpg,4,horse,0,9,aside_people
7882,train/8_22_122.jpg,8,cow,0,22,in_river
4805,train/5_24_94.jpg,5,elephant,0,24,in_circus
3619,train/4_19_2.jpg,4,horse,0,19,running
8754,train/9_31_138.jpg,9,monkey,0,31,sitting
5295,train/6_0_107.jpg,6,dog,0,0,in_water
1233,train/1_15_162.jpg,1,bird,0,15,flying
2679,train/3_17_275.jpg,3,cat,0,17,at_home
97,train/0_2_105.jpg,0,sheep,0,2,eating
837,train/1_11_82.jpg,1,bird,0,11,on_ground
3610,train/4_19_140.jpg,4,horse,0,19,running
3358,train/3_3_126.jpg,3,cat,0,3,on_snow
3443,train/3_3_87.jpg,3,cat,0,3,on_snow
9174,train/9_8_32.jpg,9,monkey,0,8,walking
6319,train/6_6_32.jpg,6,dog,0,6,on_grass
811,train/1_11_58.jpg,1,bird,0,11,on_ground
3499,train/3_8_25.jpg,3,cat,0,8,walking
4798,train/5_24_88.jpg,5,elephant,0,24,in_circus
6386,train/7_0_10.jpg,7,bear,0,0,in_water
1192,train/1_15_121.jpg,1,bird,0,15,flying
2737,train/3_17_75.jpg,3,cat,0,17,at_home
4809,train/5_24_98.jpg,5,elephant,0,24,in_circus
6845,train/7_26_202.jpg,7,bear,0,26,black
8746,train/9_31_13.jpg,9,monkey,0,31,sitting
1289,train/1_15_30.jpg,1,bird,0,15,flying
3409,train/3_3_5.jpg,3,cat,0,3,on_snow
8951,train/9_5_104.jpg,9,monkey,0,5,in_forest
3865,train/4_23_143.jpg,4,horse,0,23,on_beach
7466,train/7_5_185.jpg,7,bear,0,5,in_forest
7570,train/7_5_65.jpg,7,bear,0,5,in_forest
6936,train/7_26_63.jpg,7,bear,0,26,black
3682,train/4_19_83.jpg,4,horse,0,19,running
8830,train/9_31_68.jpeg,9,monkey,0,31,sitting
7705,train/8_14_89.jpg,8,cow,0,14,standing
4747,train/5_24_32.jpg,5,elephant,0,24,in_circus
6094,train/6_2_208.jpg,6,dog,0,2,eating
7908,train/8_22_26.jpg,8,cow,0,22,in_river
7456,train/7_5_175.jpg,7,bear,0,5,in_forest
7858,train/8_22_0.jpg,8,cow,0,22,in_river
1960,train/2_17_120.jpg,2,rat,0,17,at_home
9214,train/9_8_77.jpg,9,monkey,0,8,walking
759,train/1_11_258.jpg,1,bird,0,11,on_ground
3359,train/3_3_127.jpg,3,cat,0,3,on_snow
6789,train/7_26_15.jpg,7,bear,0,26,black
7084,train/7_27_212.jpg,7,bear,0,27,brown
804,train/1_11_50.jpg,1,bird,0,11,on_ground
6363,train/6_6_79.jpg,6,dog,0,6,on_grass
271,train/0_4_20.jpg,0,sheep,0,4,on_road
3927,train/4_23_58.jpg,4,horse,0,23,on_beach
3782,train/4_1_62.jpg,4,horse,0,1,lying
449,train/0_6_131.jpeg,0,sheep,0,6,on_grass
2517,train/3_17_120.jpg,3,cat,0,17,at_home
3827,train/4_23_106.jpg,4,horse,0,23,on_beach
3905,train/4_23_33.jpg,4,horse,0,23,on_beach
6963,train/7_26_92.jpg,7,bear,0,26,black
2901,train/3_20_73.jpg,3,cat,0,20,in_street
4734,train/5_24_17.jpg,5,elephant,0,24,in_circus
9157,train/9_8_11.jpg,9,monkey,0,8,walking
